jobName,salary,welfare,url,city_display,company,company_size,company_type,emplType,eduLevel,updateDate,workingExp
测试工程师,6K-12K,"五险一金,年底双薪,节日福利,定期体检,餐补",https://jobs.zhaopin.com/CZ649426620J00324207507.htm,长沙,深圳宇衡互联科技有限公司,100-499人,民营,全职,大专,2019-05-17 16:16:25,3-5年
软件开发工程师,3K-6K,"全勤奖,加班补助,节日福利,项目奖金,五险一金",https://jobs.zhaopin.com/CC308166713J00260182108.htm,合肥,合肥紫软计算机科技有限公司,20-99人,民营,全职,大专,2019-05-17 15:12:52,1-3年
高级前端web开发工程师,15K-25K,"五险一金,绩效奖金,包吃,餐补,带薪年假",https://jobs.zhaopin.com/422453413250090.htm,南京,南京森根科技发展有限公司,100-499人,民营,全职,本科,2019-05-17 15:00:00,5-10年
C#软件工程师（PG）,4K-6K,"五险一金,带薪年假,补充医疗保险,定期体检,员工旅游",https://jobs.zhaopin.com/457996217250128.htm,大连,艾珂威尔信息技术服务(大连)有限公司,100-499人,合资,全职,本科,2019-05-17 15:55:05,3-5年
gis开发工程师,8K-11K,"五险一金,绩效奖金,交通补助,餐补,通讯补助",https://jobs.zhaopin.com/CC508483080J00116696605.htm,长沙,正元地理信息有限责任公司湖南分公司,500-999人,国企,全职,本科,2019-05-17 09:48:42,1-3年
技术助理4K起晋升空间,2.6K-4.1K,"五险一金,年底双薪,全勤奖,绩效奖金,餐补",https://jobs.zhaopin.com/CC395029580J00285617807.htm,广州,广州富创科达信息科技有限公司,100-499人,民营,全职,大专,2019-05-17 15:00:48,不限
POS机开发工程师（双休+五险）,6K-12K,"餐补,创业公司,周末双休,全勤奖,弹性工作",https://jobs.zhaopin.com/CZ311684080J00178440301.htm,福州,福州新联付网络科技有限公司,20-99人,不限,全职,大专,2019-05-17 15:21:31,1-3年
android开发工程师,5K-7K,"补充医疗保险,带薪年假,员工旅游,节日福利,五险一金",https://jobs.zhaopin.com/CC538931480J00273633705.htm,西安,陕西易匠信息科技有限公司,20-99人,民营,全职,本科,2019-05-17 09:21:38,3-5年
SAP ABAP开发工程师,10K-18K,"餐补,通讯补助,五险一金,绩效奖金,带薪年假",https://jobs.zhaopin.com/CC132644163J00096214413.htm,北京,中远海运科技(北京)有限公司,100-499人,国企,全职,本科,2019-05-17 16:15:32,3-5年
IT系统开发工程师,8K-10K,"五险一金,绩效奖金,包吃,包住,带薪年假",https://jobs.zhaopin.com/139573874250024.htm,天津,天津珍熙美容实业有限公司,500-999人,外商独资,全职,本科,2019-05-17 15:40:55,1-3年
大数据开发工程师,10K-15K,"交通补助,带薪年假,补充医疗保险,节日福利,餐补",https://jobs.zhaopin.com/CC412272383J00118239612.htm,北京,北京航天数据股份有限公司,100-499人,国企,校园,硕士,2019-05-17 15:17:26,无经验
开发工程师,8K-10K,"五险一金,绩效奖金,餐补,通讯补助,带薪年假",https://jobs.zhaopin.com/CC299658230J00210329408.htm,常州,用友网络科技股份有限公司常州分公司,10000人以上,民营,全职,大专,2019-05-17 13:11:29,1-3年
Android软件开发工程师（兼职）,20K-30K,"无试用期,创业公司",https://jobs.zhaopin.com/CC212147210J00140765106.htm,深圳,广州市联德智能系统有限公司,20人以下,民营,兼职/临时,本科,2019-05-17 16:05:02,3-5年
技术支持工程师,6K-12K,"五险一金,绩效奖金,交通补助,餐补,定期体检",https://jobs.zhaopin.com/CC137243219J00154251711.htm,北京,北京顶点时代软件技术有限公司,1000-9999人,股份制企业,全职,本科,2019-05-17 15:30:46,1-3年
开发工程师,10K-15K,"周末双休,五险一金",https://jobs.zhaopin.com/CC120151902J00124960214.htm,重庆,北京英孚泰克信息技术股份有限公司,100-499人,民营,全职,本科,2019-05-17 13:14:18,1-3年
算法工程师,10K-15K,"交通补助,带薪年假,补充医疗保险,节日福利,餐补",https://jobs.zhaopin.com/CC412272383J00118238212.htm,北京,北京航天数据股份有限公司,100-499人,国企,校园,硕士,2019-05-17 15:17:26,无经验
计算机实习生包食宿,3K-4K,"14薪,五险一金,周末双休,包吃,包住",https://jobs.zhaopin.com/CZ698409830J00084287208.htm,沈阳,沈阳远信华通科技有限公司,500-999人,上市公司,全职,大专,2019-05-17 16:15:50,不限
高级软件研发工程师,10K-15K,"五险一金,年底双薪,绩效奖金,全勤奖,周末双休",https://jobs.zhaopin.com/CC458961213J00248937502.htm,武汉,武汉易思达科技有限公司,20-99人,民营,全职,本科,2019-05-17 00:52:22,3-5年
数据库开发工程师,10K-15K,"五险一金,带薪年假,定期体检,节日福利,试用期全额",https://jobs.zhaopin.com/CC191761023J00263770207.htm,上海,上海泓智信息科技有限公司,100-499人,上市公司,全职,本科,2019-05-17 00:51:52,1-3年
软件工程师,8K-10K,"年终分红,绩效奖金,包吃,包住,创业公司",https://jobs.zhaopin.com/CC695396520J00242628305.htm,佛山,佛山市核德隆电子有限公司,100-499人,民营,全职,大专,2019-05-17 16:16:52,1-3年
项目经理-互联网行业-有技术底蕴-可出差,15K-20K,"周末双休,五险一金,带薪年假,节日福利,年终分红",https://jobs.zhaopin.com/CC477023430J00129129012.htm,天津,北京德惠众合信息技术有限公司天津分公司,100-499人,民营,全职,本科,2019-05-17 11:45:42,5-10年
中级web前端研发工程师,6K-8K,"五险一金,带薪年假,定期体检",https://jobs.zhaopin.com/255215736250293.htm,西安,西安众盈医疗信息科技有限公司,100-499人,民营,全职,本科,2019-05-17 00:52:44,3-5年
php工程师,4K-6K,"五险一金,周末双休,全勤奖,不加班,节日福利",https://jobs.zhaopin.com/CC873930550J00145983410.htm,济南,山东成蹊网络科技有限公司,20-99人,民营,全职,大专,2019-05-17 15:32:16,1-3年
软件测试讲师,10K-15K,"五险一金,全勤奖,节日福利,绩效奖金,年底双薪",https://jobs.zhaopin.com/CC280605335J00244062306.htm,深圳,深圳博睿同创信息技术有限公司,100-499人,民营,全职,大专,2019-05-17 00:50:35,3-5年
技术支持 工程师,2.5K-5K,"交通补助,通讯补助,弹性工作,创业公司,周末双休",https://jobs.zhaopin.com/CC497472723J00078329010.htm,哈尔滨,黑龙江全教计算机科技有限公司,20人以下,民营,全职,大专,2019-05-17 16:11:22,1年以下
软件工程师,8K-15K,"五险一金,绩效奖金,餐补,带薪年假,定期体检",https://jobs.zhaopin.com/130796446250707.htm,北京,北京风丘科技有限公司,20-99人,民营,全职,本科,2019-05-17 00:50:58,1-3年
c#.net,6K-12K,"年终分红,节日福利,员工旅游,带薪年假,餐补",https://jobs.zhaopin.com/CZ406577480J00121261014.htm,太原,山西米谷网络科技有限公司,20-99人,民营,全职,大专,2019-05-17 16:11:01,1-3年
软件开发工程师,14K-25K,"五险一金,年底双薪,加班补助,餐补,带薪年假",https://jobs.zhaopin.com/CC444672180J00182245903.htm,深圳,创信测试技术(深圳)有限公司,20-99人,民营,全职,本科,2019-05-17 15:07:33,3-5年
软件工程师,8K-10K,"五险一金,带薪年假",https://jobs.zhaopin.com/CC145369792J00252914004.htm,大连,大连新程软件有限公司,100-499人,其它,全职,大专,2019-05-17 15:06:58,3-5年
